rok,kapela,projekt,název,kredit
2005,DJ Side,Vinyl,The Renaissance,Mastering
2005,Kompilace,CD,Nejbr Mix 1,"Rec, Mix"
2005,CABA & SIDE,CD,Caba & Side,"Rec, Mix"
2004,SKYLINE,CD,Urbanica,"Rec, Mix"
2004,WICH,CD,Time Is Now,"Rec, Mix"
2004,INDEX,Vinyl,"Když máš co,tak piš / Snad Jen 1... / Zas my, zas o krok dál","Rec, Mix"
2004,BOW WAVE,CD,Emigrant,"Rec, Mix"
2003,SEVERSKÁ DVOJKA,Vinyl,"Věta vs. Cvrkot
","Rec, Mix"
2003,Kompilace,CD,East Side Unia 3,"Rec, Mix"
2003,VEC,Vinyl,Taxa Mito Páči / Si Sereš Do Huby,"Rec, Mix"
2003,NAŠE VĚC,CD,Hořký menu,"Rec, Mix"
2003,ORION,CD,Teritorium 1,"Rec, Mix"
2003,D. REAL C.,Vinyl,"Sou Věci, Pocit","Rec, Mix"
2003,Kompilace,CD,From Amsterdam To Praha,"Rec, Mix"
2002,PHAT,CD,Frekvence P.H.A.T.,"Rec, Mix"
2002,INDY & WICH,Vinyl,Pohyb Nehybnýho / Indyvidual,"Rec, Mix"
2002,INDY & WICH,CD,My 3,"Rec, Mix"
2002,Cut Dem,CD,Cut Tru Mass,"Rec, Mix, Mastering"
2001,K.O.KRU,Vinyl,Nádech / Náš Cíl / Mluvit Rovně / Výdech,"Rec, Mix"
2001,PSH,CD,Repertoár,"Rec, Mix"
2000,Kompilace,CD,East Side Unia 2,"Rec, Mix"
2000,NÁZOV STAVBY,Vinyl,Názov Stavby EP,"Rec, Mix"
